#-------------------------------------------
# Food Diary Report - Detailed Report,"вторник, мая 19, 2026"
#-------------------------------------------

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)

"вторник, мая 19, 2026",1723,"65,61","27,927","166,2","12,34","47,54","116,96","2692,36","178,96",1525
 Завтрак,646,"20,69","10,468","76,38","7,6","38,55","42,05","1107,72","32,09",833
  Cofler Chocolate Dubai,106,"6,65","3,04","9,69","0,4","7,98","1,73",399,"2,09",0
   19 г
  Dicomere Quinoa Pop,119,"1,9","0,12",21,"1,9",0,"4,4",22,,
"   1/2 taza, 30 г"
  La Serenísima Yogurisimo Griego Natural sin Endulzar,68,"2,61","1,49","5,81",0,"4,77","5,4","69,72",,
   83 г
  Манго,51,"0,21","0,051","13,26","1,4","11,54","0,4",2,0,122
   78 г
  Папайя,84,"0,3","0,093","21,19","3,9","12,74","1,32",6,0,555
   216 г
  Творог 5%,218,"9,02","5,674","5,43",0,"1,52","28,8",609,30,156
   180 г
 Обед,242,"2,73","0,726",0,0,0,"50,8",143,128,561
  Куриное Филе,242,"2,73","0,726",0,0,0,"50,8",143,128,561
   220 г
 Ужин,410,"26,77","9,513","26,65","2,01","0,9","15,92","459,75",17,131
  Фисташки,33,"2,67","0,326","1,68","0,6","0,46","1,24",0,0,62
   6 г
  Соусом Песто,53,5,"1,297","0,51","0,2","0,08","1,81",70,4,20
   10 г
  Arrivata Burrata,99,"8,1","3,9","1,1",0,,"5,2",41,,
"   1 porción, 30 г"
  Cagnoli Mortadela,81,"6,19","3,38","2,06","0,31",,"4,19","198,75",,
   25 г
  Итальянская Лепешка Фокачча,144,"4,81","0,61","21,3","0,9","0,36","3,48",150,13,49
   45 г
 Перекус/Другое,425,"15,42","7,22","63,17","2,73","8,09","8,19","981,89","1,87",0
  Cofler Chocolate Dubai,95,"5,95","2,72","8,67","0,36","7,14","1,55",357,"1,87",0
   17 г
  Cachamate Bizcochitos,249,"9,47","4,5","35,5","2,37","0,95","5,44","624,89",,
   71 г
  Billiken Gomitas Yummy,81,0,0,19,,,"1,2",,,
   1 porción (30 г)

Всего,1723,"65,61","27,927","166,2","12,34","47,54","116,96","2692,36","178,96",1525
